Numero Kemler Pericolo A F O T C N Sostanza/ scenario 
223 gas liquefatto refrigerato, infiammabile 5
238 gas infiammabile, corrosivo 5
239 gas infiammabile, che può produrre spontaneamente una reazione violenta 5
26 gas tossico 4
265 gas tossico e comburente (favorisce l'incendio) 4
323 materia liquida infiammabile che reagisce con l'acqua, con sviluppo di gas infiammabili 10
X323 materia liquida infiammabile che reagisce pericolosamente con l'acqua con sviluppo di gas infiammabili 10
333 materia liquida piroforica 10
X333 materia liquida piroforica che reagisce pericolosamente con l'acqua 10
338 materia liquida molto infiammabile e corrosiva 10
X338 materia liquida molto infiammabile e corrosiva, che reagisce pericolosamente con l'acqua 10
339 materia liquida molto infiammabile, che può produrre spontaneamente una reazione violenta 10
36 materia liquida infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C), debolmente tossica, o materia liquida autoriscaldante e tossica 11
362 materia liquida infiammabile e tossica, che reagisce con l'acqua, con sviluppo di gas infiammabili 11
X362 materia liquida infiammabile e tossica, che reagisce pericolosamente con l'acqua, con sviluppo di gas infiammabili 11
368 materia liquida infiammabile tossica e corrosiva 11
38 materia liquida infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C), debolmente corrosiva, o materia liquida autoriscaldante e corrosiva 9
382 materia liquida infiammabile e corrosiva, che reagisce con l'acqua, con sviluppo di gas infiammabili 10
X382 materia liquida infiammabile e corrosiva, che reagisce pericolosamente con l'acqua, con sviluppo di gas infiammabili 10
39 materia liquida infiammabile, che può produrre spontaneamente una reazione violenta 10
50 materia comburente (favorisce l'incendio) 2
539 perossido organico infiammabile 11
55 materia molto comburente (favorisce l'incendio) 2
556 materia molto comburente (favorisce l'incendio) e tossica 2
558 materia molto comburente (favorisce l'incendio) e corrosiva 2
559 materia molto comburente (favorisce l'incendio) che può produrre spontaneamente una reazione violenta 2
56 materia comburente (favorisce l'incendio) e tossica× 2
568 materia comburente (favorisce l'incendio) e tossica e corrosiva 2
58 materia comburente (favorisce l'incendio) e corrosiva 2
59 materia comburente (favorisce l'incendio) che può produrre spontaneamente una reazione violenta 2
60 materia tossica o debolmente tossica 12
623 materia tossica liquida, che reagisce con l'acqua, con sviluppo di gas infiammabili 11
638 materia tossica e infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C) e corrosiva 12
639 materia tossica e infiammabile (punto d’infiammabilità inferiore o uguale a 60°C), che può produrre spontaneamente una reazione violenta 12
65 materia tossica e comburente (favorisce l'incendio)× 12
66 materia molto tossica 12
663 materia molto tossica infiammabile (punto d’infiammabilità inferiore o uguale a 60°C) 12
665 materia molto tossica e comburente (favorisce l’incendio) 12
668 materia molto tossica e corrosiva 12
X668 materia altamente tossica, corrosiva, che reagisce pericolosamente con l’acqua 12
669 materia molto tossica, che può produrre spontaneamente una reazione violenta 12
68 materia tossica e corrosiva 12
69 materia tossica, o debolmente tossica, che può produrre spontaneamente una reazione violenta 12
823 materia corrosiva liquida, che reagisce con l'acqua, con sviluppo di gas infiammabili× 10
83 materia corrosiva o debolmente corrosiva e infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C) 9
X83 materia corrosiva o debolmente corrosiva e infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C), che reagisce pericolosamente con l'acqua 10
839 materia corrosiva o debolmente corrosiva e infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C), può produrre spontaneamente una reazione violenta 10
X839 materia corrosiva o debolmente corrosiva e infiammabile (punto d’infiammabilità compreso tra 23°C e 60°C), può produrre spontaneamente una reazione violenta, e che reagisce pericolosamente con l'acqua 10
90 materia pericolosa per l'ambiente, materie pericolose diverse 12
